Node	In	Out	Rank_1	Rank_2	Rank_3
122	7	7	0.000177	0.931227	0.150429	0.000029
123	1	1	0.000050	0.260432	0.150005	0.000029
124	2	2	0.000067	0.352964	0.150039	0.000029
125	9	9	0.000236	1.238071	0.150921	0.000029
126	23	23	0.000509	2.674022	0.152617	0.000029
127	1	1	0.000046	0.242970	0.150006	0.000029
128	10	10	0.000235	1.233090	0.151826	0.000029
129	1	1	0.000048	0.250551	0.150016	0.000029
130	1	1	0.000046	0.242420	0.150022	0.000029
131	7	7	0.000178	0.937086	0.150830	0.000029
132	5	5	0.000116	0.611626	0.150120	0.000029
133	7	7	0.000183	0.961110	0.150711	0.000029
134	5	5	0.000135	0.711133	0.150857	0.000029
135	2	2	0.000075	0.392096	0.150697	0.000029
136	8	8	0.000184	0.964576	0.150231	0.000029
137	4	4	0.000126	0.663264	0.150165	0.000029
138	2	2	0.000069	0.360381	0.150130	0.000029
139	1	1	0.000050	0.263619	0.150065	0.000029
140	2	2	0.000101	0.530473	0.150461	0.000029
141	2	2	0.000070	0.369561	0.150081	0.000029
142	2	2	0.000076	0.400700	0.150362	0.000029
143	8	8	0.000210	1.104949	0.151216	0.000029
144	9	9	0.000239	1.255521	0.150461	0.000029
145	3	3	0.000085	0.444439	0.150214	0.000029
146	4	4	0.000112	0.591060	0.150206	0.000029
147	1	1	0.000050	0.263739	0.150003	0.000029
148	1	1	0.000052	0.271385	0.150062	0.000029
149	3	3	0.000087	0.458066	0.150021	0.000029
150	8	8	0.000184	0.967266	0.150300	0.000029
151	1	1	0.000072	0.377884	0.150124	0.000029
152	10	10	0.000206	1.081202	0.150300	0.000029
153	34	34	0.000688	3.613816	0.158024	0.000030
154	1	1	0.000048	0.252978	0.150008	0.000029
155	1	1	0.000190	1.000000	0.156391	0.000030
156	3	3	0.000086	0.449913	0.150032	0.000029
157	4	4	0.000192	1.008876	0.151399	0.000029
158	10	10	0.000236	1.238462	0.150731	0.000029
159	1	1	0.000078	0.410999	0.150618	0.000029
160	24	24	0.000548	2.880244	0.167790	0.000032
161	4	4	0.000137	0.721495	0.150775	0.000029
162	1	1	0.000049	0.259283	0.150016	0.000029
163	1	1	0.000047	0.249304	0.150031	0.000029
164	5	5	0.000118	0.622561	0.150071	0.000029
165	54	54	0.001372	7.205956	0.165156	0.000031
166	1	1	0.000076	0.400720	0.150308	0.000029
167	2	2	0.000065	0.341302	0.150020	0.000029
168	1	1	0.000062	0.323723	0.150103	0.000029
169	7	7	0.000173	0.908180	0.150081	0.000029
170	2	2	0.000064	0.336467	0.150031	0.000029
171	1	1	0.000076	0.399226	0.150308	0.000029
172	1	1	0.000076	0.400501	0.150089	0.000029
173	2	2	0.000069	0.363701	0.150010	0.000029
174	14	14	0.000397	2.087717	0.155572	0.000030
175	1	1	0.000050	0.263739	0.150003	0.000029
176	2	2	0.000074	0.386208	0.150191	0.000029
177	10	10	0.000291	1.529921	0.152174	0.000029
178	6	6	0.000150	0.787354	0.150364	0.000029
179	4	4	0.000135	0.711189	0.151163	0.000029
180	7	7	0.000171	0.897671	0.150210	0.000029
181	4	4	0.000103	0.541860	0.150116	0.000029
182	20	20	0.000506	2.660948	0.154255	0.000029
183	2	2	0.000077	0.403183	0.150086	0.000029
184	1	1	0.000048	0.250111	0.150034	0.000029
185	4	4	0.000108	0.565465	0.150092	0.000029
186	2	2	0.000070	0.367056	0.150013	0.000029
187	10	10	0.000243	1.275335	0.151139	0.000029
188	1	1	0.000047	0.245923	0.150005	0.000029
189	2	2	0.000160	0.841647	0.155591	0.000030
190	1	1	0.000051	0.266312	0.150124	0.000029
191	14	14	0.000319	1.674837	0.152039	0.000029
192	1	1	0.000047	0.249413	0.150046	0.000029
193	2	2	0.000079	0.414049	0.150090	0.000029
194	1	1	0.000058	0.306367	0.150154	0.000029
195	35	35	0.000718	3.773467	0.156215	0.000030
196	3	3	0.000115	0.606592	0.150634	0.000029
197	5	5	0.000126	0.660481	0.150249	0.000029
198	27	27	0.000528	2.774202	0.151743	0.000029
199	1	1	0.000051	0.269409	0.150013	0.000029
200	6	6	0.000190	0.999358	0.150706	0.000029
201	1	1	0.000063	0.333587	0.150205	0.000029
202	1	1	0.000052	0.273334	0.150009	0.000029
203	11	11	0.000285	1.495041	0.151899	0.000029
204	12	12	0.000259	1.362065	0.150525	0.000029
205	1	1	0.000049	0.259283	0.150003	0.000029
